page_title,revision_id,quality_score
Ernst_Hampel_(politician),1232067132,Stub
Hans_Peter_Haselsteiner,1226351964,Start
Friedrich_Wilhelm_von_Haugwitz,1215043658,C
Eduard_Hedvicek,1215043825,Stub
Hermann_Stern,1215044008,C
Jürgen_Himmelbauer,1215045853,Stub
Anton_Hofer,1215044432,Start
Andreas_Hörtnagl,1215046038,Stub
Franz_Jetzinger,1214236945,Start
Konstantin_Jireček,1242771327,C
Hugo_Jury,1225140706,C
Joseph_Kenner,1169137921,Start
Theodor_Kery,1215046740,Stub
Michael_Killisch-Horn,1106829544,Stub
Sophia_Kircher,1242552103,Stub
Hubert_Klausner,1242810704,Start
Martin_Kocher,1241392879,Stub
Józef_Kożdoń,1215053905,C
Gottfried_von_Kühnelt-Leddihn,1235730032,Start
Franz_Leitner_(politician),1215054152,Stub
Elmar_Lichtenegger,1215483185,Start
Julius_Lippert_(historian),1248432097,Stub
Reinhold_Lopatka,1250933660,Stub
Karl_Lütgendorf,1231556108,Stub
Jürgen_Mandl,1215054486,Stub
Renate_Mann,1099978355,Stub
Ferdinand_Mannlicher,1250188481,C
Christoph_Matznetter,1250934182,Start
Johann_Gregor_Memhardt,1226209962,Stub
Franz_Moroder,1228417930,C
Heinz_Nittel,1226214871,Stub
Heidemaria_Onodi,1246630894,Start
Brigitta_Pallauf,1215184008,Start
Wladimir_von_Pawlowski,1242446030,Stub
Johann_Anton_von_Pergen,1248404055,C
Gerhard_Pfanzelter,1238011369,Start
Walter_Pfrimer,1249288737,C
Leopold_Poetsch,1251056800,Start
Thomas_Prinzhorn,1215185462,C
Gregor_Razumovsky_(activist),1236098636,C
Horst_Rosenkranz,1215185628,Start
Emil_Sax,1215185845,Start
Peter_Schieder,1239601735,Start
Karl_Schmitzer,1215186109,Stub
Sonja_Zwazl,1235856770,Start
"Georg_Adam,_Prince_of_Starhemberg",1215186237,C
Gundaker_Thomas_Starhemberg,1246777408,Start
Josef_Staribacher,1215186443,Stub
Peter_Strasser_(politician),1240951343,Start
Julius_Tandler,1153989705,Start
"Leopold,_Count_von_Thun_und_Hohenstein",1215186791,C
Karl_Freiherr_von_Vogelsang,1231556362,Start
Anton_von_Winzor,1231556425,Stub
Gisela_Wurm,1215187415,Stub
Alexander_Zach,1215187552,Stub
Curt_Franz_Wenzel_Christoph_Erdmann_Graf_Zedtwitz_von_Moraván_und_Duppau,1243965585,Start
Karl_von_Zinzendorf,1240906258,Start
Muzamil_Abdullayev,1223484511,Stub
Leyla_Abdullayeva,1230366514,Start
Elchin_Afandiyev,1243626881,Start
Fazail_Agamali,1250642641,C
Aliabbas_Salahzade,1211047878,Start
Enver_Alikhanov,1161577254,Stub
Tarlan_Aliyarbayov,1240965677,GA
Dilara_Aliyeva,1236388140,Start
Araz_Alizadeh,1246060446,Stub
Ali_Asadov,1237483914,C
Ashraf_Bey_Taghiyev,1213943020,Start
Chimnaz_Aslanova,1245503366,Start
Akram_Aylisli,1247420701,C
Sahil_Babayev,1207600921,C
Huseyngulu_Baghirov,1199215674,Start
Bakhish_bey_Rustambeyov,1246060690,Start
Alovsat_Bakhshiyev,1207738330,Start
Mirgasim_Cheshmazer,1226415908,Start
Vilayat_Eyvazov,1208072134,Start
Abdurrahman_Fatalibeyli,1241052691,C
Fazail_Ibrahimli,1243509483,Start
Afshan_Gadimbeyova,1243747432,Start
Garib_Karimoğlu,1246060699,Start
Gudrat_Gasanguliev,1234004989,Start
Solomon_Grobshtein,1067081975,Stub
Teymur_Guliyev,1232296078,Stub
Mammad_Gurbanov,1237445893,Start
Musa_Hacigasimov,1236490449,Stub
Asaf_Hajiyev,1235219197,C
Haji_Molla_Ahmad_Nuruzade,1239189558,GA
Farhad_Hajiyev,1246286594,Start
Hasan_Majidov,1236490430,Start
Hasan_Hasanli,1244589428,Start
Jamil_Hasanli,1248447237,C
Ali_M._Hasanov,1245282668,C
Zakir_Hasanov,1224596001,C
Ali_Huseynli,1245270394,Start
Alisahib_Huseynov,1246588423,Start
Ali_Ibrahimov,1244157806,Start
Irshad_Aliyev,1225308278,Stub
Mamed_Iskenderov,1244201378,Start
Vidadi_Isgandarov,1249203876,Start
Ajdar_Ismailov,1157124148,C
Saftar_Jafarov,1222623261,Start
Jeyhun_Jalilov,1228687346,Start
Arastun_Javadov,1147579900,Stub
Rovshan_Javadov,1250266366,C
Anar_Karimov,1245270299,Start
Boris_Kevorkov,1217681945,Start
Gurban_Khalilov,1243520102,Start
Ahmad_Kordary,1187254621,Stub
Lutfali_bey_Behbudov,1226230854,C
Ilham_Madatov,1011331249,Start
Makhmud_Mamed-Guliev,1243510539,Start
Majnun_Mammadov,1248225337,Start
Musa_Mammadov,1243510550,Start
Ramin_Mammadov,1248662299,Start
Elshad_Mirbashir_oghlu,1194162044,C
Tahir_Mirkishili,1210593900,Start
Movsum_Samadov,1241255046,C
Fuad_Naghiyev,1248662296,Start
Eldar_Namazov,1206211739,Start
Namig_Nasrullayev,1158375491,Stub
Siyavush_Novruzov,1243520070,C
Zahid_Oruj,1213965350,Start
Sadig_Rahimov,1245157534,C
Suleyman_Rahimov,1193027962,C
Huseyn_Rahmanov,1106104383,Stub
Rovshen_Rzayev,1208078338,Start
Hasan_Seyidov,1148385245,Stub
Hasan_Seyidov_(scientist),1198202282,Start
Parviz_Shahbazov,1213858589,Start
Mammad_agha_Shahtakhtinski,1185599926,C
Abid_Sharifov,1243510547,Start
Shirali_Akhundov,1213002608,C
Ikhtiyar_Shirinov,1243510572,Stub
Bakhtiyar_Vahabzadeh,1249675761,C
Vugar_Mustafayev_(minister),1208077047,Start
Yusif_Ziya_Talibzadeh,1243510546,GA
Nurali_Yusifbayli,1243510541,Start
Keith_Bell_(Bahamian_politician),1243023554,Start
Charles_Carter_(Bahamian_journalist),1162793449,C
Harold_Christie,1142294843,Start
Timothy_Donaldson,1245586658,C
Eugene_Dupuch,1181612386,Start
Joseph_Robert_Love,1177467150,C
McKell_Bonaby,1238577650,Stub
Pakesia_Parker-Edgecombe,1226025677,Start
James_Carmichael_Smith_(postmaster),1248344476,C
Mohammed_Isa_Al_Abbasi,1171757402,Stub
Abdulla_Adel_Fakhro,1223700072,Start
Abdullah_bin_Isa_Al_Khalifa,1182830303,Start
Ahmed_Behzad_(Bahrain),1063482737,Stub
Kamal_Ahmed_(politician),1215486840,Stub
Mohamed_Ali_Hasan_Ali,1006173162,Stub
Khalid_Almoayed,1215466172,Stub
Aymen_Tawfeeq_Almoayed,1227286508,Start
Nazar_Al_Baharna,1241906132,Start
Mahmood_Al_Bahrani,1161492589,Stub
Ammar_Al_Bannai,1231654401,Start
Jawad_Fairooz,1177286981,Start
Qasim_Fakhro,1099067663,Start
Faisal_al-Hamar,1218302538,Stub
Nabeel_bin_Yaqub_Al-Hamar,1159628135,Stub
Isa_bin_Abdulrahman_Al_Hammadi,1098344827,Stub
Jameel_Humadan,1148959062,Start
Isa_bin_Ibrahim_Al_Khalifa,1146485875,Stub
Fahmi_al-Jowder,1172576081,Stub
Saud_Kanoo,1098699647,Stub
Essam_Khalaf,1006167519,Stub
Abdullah_bin_Hamad_bin_Isa_Al_Khalifa,1241499929,Start
Ahmed_bin_Mohamed_Al_Khalifa,1221144846,Stub
Ali_bin_Khalifa_Al_Khalifa,1250923005,Stub
Hala_bint_Mohammed_Al_Khalifa,1232948277,Start
Ibrahim_ibn_Khalifa_Al_Khalifa,1156409493,Start
Mai_bint_Mohammed_Al_Khalifa,1217876419,Start
Salman_bin_Khalifa_Al_Khalifa,1247375519,Stub
Hamad_Al_Kooheji,1233118749,Stub
Abdullatif_Al-Mahmood,1227285970,Stub
Rasheed_Mohammed_Al_Maraj,1247375502,Stub
Khalid_Al_Maskati,1209519423,Stub
Abdulhussain_bin_Ali_Mirza,1195787872,Stub
Mohammed_Al-Buainain,1063213013,Start
Mohammed_bin_Khalifa_bin_Ahmed,1244455253,C
Mohammed_bin_Khalifa_bin_Ali_Al_Khalifa,1202322111,Start
Abdulrahman_al-Nuaimi,1235804624,Start
Ammar_Qambar,1140605737,Start
Isa_Qassim,1249444464,GA
Abdulla_Hassan_Saif,1219928150,Stub
Ali_bin_Saleh_Al_Saleh,1239617504,Stub
Ahmed_Al-Salloum,1244755894,Start
Salman_bin_Hamad_Al_Khalifa,1250494329,C
Abdul_Motaleb,1245374567,Stub
Abdus_Salam_(Chattogram_politician),1245374007,Stub
Abul_Hashim,1232200030,C
Oli_Ahad,1247061966,Start
Chowdhury_Shamsuddin_Ahmed,1237261756,Stub
Farid_Ahmed,1245375794,Stub
Muzaffar_Ahmed_(NAP_politician),1245380189,Start
AKM_Hafizuddin,1246694478,Stub
Mohammad_Manjur_Alam,1245377984,Start
M_Hossain_Ali,1242815841,Start
Aminul_Islam_Rabel,1245379837,Stub
Mohammad_A._Arafat,1250896485,GA
Ashab_Uddin_Ahmad,1245380479,B
Shafiqur_Rahman_Badsha,1245374148,Stub
Selina_Banu,1183475136,Start
Nurul_Huq_Bhuiyan,1236303322,Stub
Birendra_Kishore_Roaza,1246126702,Stub
Bishnu_Chattopadhyay,1242147738,Start
AKM_Fazlul_Kabir_Chowdhury,1245380545,Start
Aminul_Islam_Chowdhury,1175807916,Start
Anwarul_Karim_Chowdhury,1245395466,C
Moinuddin_Ahmed_Chowdhury,1166369458,C
Sarwar_Jan_Chowdhury,1245377291,Stub
