name,url,country,page_title,Geography,Population,region,revision_id,quality_score
Bardhok Biba,https://en.wikipedia.org/wiki/Bardhok_Biba,Albania,Bardhok_Biba,Albania,2.7,SOUTHERN EUROPE,1250227174.0,C
Kostandin Boshnjaku,https://en.wikipedia.org/wiki/Kostandin_Boshnjaku,Albania,Kostandin_Boshnjaku,Albania,2.7,SOUTHERN EUROPE,1250227994.0,C
Spartak Braho,https://en.wikipedia.org/wiki/Spartak_Braho,Albania,Spartak_Braho,Albania,2.7,SOUTHERN EUROPE,1224650124.0,Start
Safet Butka,https://en.wikipedia.org/wiki/Safet_Butka,Albania,Safet_Butka,Albania,2.7,SOUTHERN EUROPE,1189442848.0,C
Uran Butka,https://en.wikipedia.org/wiki/Uran_Butka,Albania,Uran_Butka,Albania,2.7,SOUTHERN EUROPE,1196422551.0,Start
Refo Çapari,https://en.wikipedia.org/wiki/Refo_Çapari,Albania,Refo_Çapari,Albania,2.7,SOUTHERN EUROPE,1222381064.0,Start
Neritan Ceka,https://en.wikipedia.org/wiki/Neritan_Ceka,Albania,Neritan_Ceka,Albania,2.7,SOUTHERN EUROPE,1184807608.0,Start
Hysni Curri,https://en.wikipedia.org/wiki/Hysni_Curri,Albania,Hysni_Curri,Albania,2.7,SOUTHERN EUROPE,1198914812.0,Start
Ibrahim Dalliu,https://en.wikipedia.org/wiki/Ibrahim_Dalliu,Albania,Ibrahim_Dalliu,Albania,2.7,SOUTHERN EUROPE,1248264998.0,Start
Niazi Demi,https://en.wikipedia.org/wiki/Niazi_Demi,Albania,Niazi_Demi,Albania,2.7,SOUTHERN EUROPE,1209346411.0,Stub
Abdurrahman Dibra,https://en.wikipedia.org/wiki/Abdurrahman_Dibra,Albania,Abdurrahman_Dibra,Albania,2.7,SOUTHERN EUROPE,1244008227.0,Start
Bujar Dida,https://en.wikipedia.org/wiki/Bujar_Dida,Albania,Bujar_Dida,Albania,2.7,SOUTHERN EUROPE,1222151681.0,C
Ahmed Dino,https://en.wikipedia.org/wiki/Ahmed_Dino,Albania,Ahmed_Dino,Albania,2.7,SOUTHERN EUROPE,1209165678.0,Stub
Rasih Dino,https://en.wikipedia.org/wiki/Rasih_Dino,Albania,Rasih_Dino,Albania,2.7,SOUTHERN EUROPE,1180949327.0,Stub
Ferhat Bey Draga,https://en.wikipedia.org/wiki/Ferhat_Bey_Draga,Albania,Ferhat_Bey_Draga,Albania,2.7,SOUTHERN EUROPE,1236738861.0,C
Nexhip Draga,https://en.wikipedia.org/wiki/Nexhip_Draga,Albania,Nexhip_Draga,Albania,2.7,SOUTHERN EUROPE,1236738502.0,GA
Aqif Pasha Elbasani,https://en.wikipedia.org/wiki/Aqif_Pasha_Elbasani,Albania,Aqif_Pasha_Elbasani,Albania,2.7,SOUTHERN EUROPE,1243882903.0,GA
Abas Ermenji,https://en.wikipedia.org/wiki/Abas_Ermenji,Albania,Abas_Ermenji,Albania,2.7,SOUTHERN EUROPE,1240801210.0,Start
Qamil Musa Haxhi Feza,https://en.wikipedia.org/wiki/Qamil_Musa_Haxhi_Feza,Albania,Qamil_Musa_Haxhi_Feza,Albania,2.7,SOUTHERN EUROPE,1198224146.0,Stub
Themistokli Gërmenji,https://en.wikipedia.org/wiki/Themistokli_Gërmenji,Albania,Themistokli_Gërmenji,Albania,2.7,SOUTHERN EUROPE,1241037317.0,C
Sabri Godo,https://en.wikipedia.org/wiki/Sabri_Godo,Albania,Sabri_Godo,Albania,2.7,SOUTHERN EUROPE,1230739582.0,C
Mihal Grameno,https://en.wikipedia.org/wiki/Mihal_Grameno,Albania,Mihal_Grameno,Albania,2.7,SOUTHERN EUROPE,1226635783.0,C
Aćif Hadžiahmetović,https://en.wikipedia.org/wiki/Aćif_Hadžiahmetović,Albania,Aćif_Hadžiahmetović,Albania,2.7,SOUTHERN EUROPE,1229938943.0,GA
High Council of Regency,https://en.wikipedia.org/wiki/High_Council_of_Regency,Albania,High_Council_of_Regency,Albania,2.7,SOUTHERN EUROPE,1245450388.0,C
Kurt Agë Kadiu,https://en.wikipedia.org/wiki/Kurt_Agë_Kadiu,Albania,Kurt_Agë_Kadiu,Albania,2.7,SOUTHERN EUROPE,1244486529.0,Stub
Mehmed Kalakula,https://en.wikipedia.org/wiki/Mehmed_Kalakula,Albania,Mehmed_Kalakula,Albania,2.7,SOUTHERN EUROPE,1145510350.0,Stub
Alfred Karamuço,https://en.wikipedia.org/wiki/Alfred_Karamuço,Albania,Alfred_Karamuço,Albania,2.7,SOUTHERN EUROPE,1098236555.0,Stub
Ibrahim Karbunara,https://en.wikipedia.org/wiki/Ibrahim_Karbunara,Albania,Ibrahim_Karbunara,Albania,2.7,SOUTHERN EUROPE,1235824719.0,C
Ali Këlcyra,https://en.wikipedia.org/wiki/Ali_Këlcyra,Albania,Ali_Këlcyra,Albania,2.7,SOUTHERN EUROPE,1227369252.0,Start
Bajram Kelmendi,https://en.wikipedia.org/wiki/Bajram_Kelmendi,Albania,Bajram_Kelmendi,Albania,2.7,SOUTHERN EUROPE,1237006808.0,Start
Kristo Kirka,https://en.wikipedia.org/wiki/Kristo_Kirka,Albania,Kristo_Kirka,Albania,2.7,SOUTHERN EUROPE,1237950375.0,C
Elez Koçi,https://en.wikipedia.org/wiki/Elez_Koçi,Albania,Elez_Koçi,Albania,2.7,SOUTHERN EUROPE,1174010569.0,Start
Xhelal Koprëncka,https://en.wikipedia.org/wiki/Xhelal_Koprëncka,Albania,Xhelal_Koprëncka,Albania,2.7,SOUTHERN EUROPE,1209148780.0,Stub
Kryeziu family,https://en.wikipedia.org/wiki/Kryeziu_family,Albania,Kryeziu_family,Albania,2.7,SOUTHERN EUROPE,1236739222.0,Start
Artur Kuko,https://en.wikipedia.org/wiki/Artur_Kuko,Albania,Artur_Kuko,Albania,2.7,SOUTHERN EUROPE,1112281132.0,Stub
Xhavid Leskoviku,https://en.wikipedia.org/wiki/Xhavid_Leskoviku,Albania,Xhavid_Leskoviku,Albania,2.7,SOUTHERN EUROPE,1180950536.0,Start
Sabit Lulo,https://en.wikipedia.org/wiki/Sabit_Lulo,Albania,Sabit_Lulo,Albania,2.7,SOUTHERN EUROPE,1180950488.0,Stub
Gjon Markagjoni,https://en.wikipedia.org/wiki/Gjon_Markagjoni,Albania,Gjon_Markagjoni,Albania,2.7,SOUTHERN EUROPE,1227760361.0,C
Tefik Mborja,https://en.wikipedia.org/wiki/Tefik_Mborja,Albania,Tefik_Mborja,Albania,2.7,SOUTHERN EUROPE,1234673487.0,Start
Hysni Milloshi,https://en.wikipedia.org/wiki/Hysni_Milloshi,Albania,Hysni_Milloshi,Albania,2.7,SOUTHERN EUROPE,1218412314.0,Start
Musa Qazimi,https://en.wikipedia.org/wiki/Musa_Qazimi,Albania,Musa_Qazimi,Albania,2.7,SOUTHERN EUROPE,1235824584.0,GA
Mustafa Ndroqi,https://en.wikipedia.org/wiki/Mustafa_Ndroqi,Albania,Mustafa_Ndroqi,Albania,2.7,SOUTHERN EUROPE,1198219291.0,Stub
Behxhet Nepravishta,https://en.wikipedia.org/wiki/Behxhet_Nepravishta,Albania,Behxhet_Nepravishta,Albania,2.7,SOUTHERN EUROPE,1180949734.0,Stub
Adrian Neritani,https://en.wikipedia.org/wiki/Adrian_Neritani,Albania,Adrian_Neritani,Albania,2.7,SOUTHERN EUROPE,1196135017.0,Start
Sali Nivica,https://en.wikipedia.org/wiki/Sali_Nivica,Albania,Sali_Nivica,Albania,2.7,SOUTHERN EUROPE,1240539074.0,Start
Thoma Orologa,https://en.wikipedia.org/wiki/Thoma_Orologa,Albania,Thoma_Orologa,Albania,2.7,SOUTHERN EUROPE,1180949774.0,Start
Bedri Pejani,https://en.wikipedia.org/wiki/Bedri_Pejani,Albania,Bedri_Pejani,Albania,2.7,SOUTHERN EUROPE,1220757655.0,C
Kadri Prishtina,https://en.wikipedia.org/wiki/Kadri_Prishtina,Albania,Kadri_Prishtina,Albania,2.7,SOUTHERN EUROPE,1198167947.0,Start
Ymer Prizreni,https://en.wikipedia.org/wiki/Ymer_Prizreni,Albania,Ymer_Prizreni,Albania,2.7,SOUTHERN EUROPE,1215667416.0,Start
Avni Rustemi,https://en.wikipedia.org/wiki/Avni_Rustemi,Albania,Avni_Rustemi,Albania,2.7,SOUTHERN EUROPE,1229276965.0,Start
Chatin Sarachi,https://en.wikipedia.org/wiki/Chatin_Sarachi,Albania,Chatin_Sarachi,Albania,2.7,SOUTHERN EUROPE,1141930406.0,C
Nebi Sefa,https://en.wikipedia.org/wiki/Nebi_Sefa,Albania,Nebi_Sefa,Albania,2.7,SOUTHERN EUROPE,1244486537.0,Stub
Eduard Shalsi,https://en.wikipedia.org/wiki/Eduard_Shalsi,Albania,Eduard_Shalsi,Albania,2.7,SOUTHERN EUROPE,1173107489.0,Start
Ylli Vesel Shehu,https://en.wikipedia.org/wiki/Ylli_Vesel_Shehu,Albania,Ylli_Vesel_Shehu,Albania,2.7,SOUTHERN EUROPE,1250811470.0,Stub
Athanas Shundi,https://en.wikipedia.org/wiki/Athanas_Shundi,Albania,Athanas_Shundi,Albania,2.7,SOUTHERN EUROPE,1220369492.0,C
Xhelal Sveçla,https://en.wikipedia.org/wiki/Xhelal_Sveçla,Albania,Xhelal_Sveçla,Albania,2.7,SOUTHERN EUROPE,1217259369.0,Start
Mehmet Tahsini,https://en.wikipedia.org/wiki/Mehmet_Tahsini,Albania,Mehmet_Tahsini,Albania,2.7,SOUTHERN EUROPE,1239924043.0,Stub
Ibrahim Temo,https://en.wikipedia.org/wiki/Ibrahim_Temo,Albania,Ibrahim_Temo,Albania,2.7,SOUTHERN EUROPE,1228151428.0,GA
Afrim Tole,https://en.wikipedia.org/wiki/Afrim_Tole,Albania,Afrim_Tole,Albania,2.7,SOUTHERN EUROPE,1241836925.0,Stub
Syreja Vlora,https://en.wikipedia.org/wiki/Syreja_Vlora,Albania,Syreja_Vlora,Albania,2.7,SOUTHERN EUROPE,1186986269.0,Start
Visarion Xhuvani,https://en.wikipedia.org/wiki/Visarion_Xhuvani,Albania,Visarion_Xhuvani,Albania,2.7,SOUTHERN EUROPE,1135323365.0,C
Visar Ymeri,https://en.wikipedia.org/wiki/Visar_Ymeri,Albania,Visar_Ymeri,Albania,2.7,SOUTHERN EUROPE,1248230838.0,Stub
Visar Ymeri,https://en.wikipedia.org/wiki/Visar_Ymeri,Albania,Visar_Ymeri,Albania,2.7,SOUTHERN EUROPE,1248230838.0,Stub
